node_index,latitude,longitude,elevation,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,cloud_cover,pressure_msl,surface_pressure
6700,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6701,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6702,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6703,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6704,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6705,30.75,76.75,326,29.60000038,67,34.57596207,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,963.3311157
6706,30.75,76.75,326,29.60000038,67,34.57596207,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,963.3311157
6707,30.75,76.75,351,29.45000076,67,34.34322739,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,960.617981
6708,30.75,76.75,349,29.45000076,67,34.34322739,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,960.833252
6709,30.75,76.75,349,29.45000076,67,34.34322739,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,960.833252
6710,30.75,76.75,367,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.8847046
6711,30.75,76.75,369,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.6697388
6712,30.75,76.75,362,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.4284668
6713,30.75,76.75,363,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.3146362
6714,30.75,76.75,366,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.9921875
6715,30.75,76.75,366,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.9921875
6716,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6717,30.75,76.75,368,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.7772217
6718,30.75,76.75,364,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.2071533
6719,30.75,76.75,364,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.2071533
6720,30.75,76.75,364,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.2071533
6721,30.75,76.75,361,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.5361328
6722,30.75,76.75,364,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.2071533
6723,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6724,30.75,76.75,366,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.9921875
